Country,LifeExpectancy Both,LifeExpectancy Female,LifeExpectancy Male,UrbanPopulation Percentage,UrbanPopulation Absolute,Population Density,GDP_per_capita_PPP,Population,Log_Population
Afghanistan,66.5,68.1,64.9,26.7,11704638,67,2144.1665,40000360.0,7.602063899960711
Albania,80.0,81.7,78.1,70.3,1948831,101,16353.809,2849591.0,6.454782530468232
Algeria,76.7,78.1,75.3,74.4,35291973,20,14496.865,44761051.0,7.650900275312562
Angola,65.0,67.5,62.4,68.8,26847887,31,7408.1265,34532382.0,7.538226536466343
Antigua And Barbuda,77.9,80.6,74.9,28.5,26823,214,25733.295,92316.0,4.965276978485372
Argentina,77.7,80.2,75.1,96.0,44010474,17,26300.273,45312226.0,7.656215397773324
Armenia,76.0,79.7,71.8,63.8,1882155,104,15921.705,2870293.0,6.457926231851837
Aruba,76.6,79.1,74.0,44.7,48340,601,35696.31,107524.0,5.031505412197983
Australia,84.2,86.0,82.4,86.5,23335357,4,57321.562,25956358.0,7.414243755483338
Austria,82.3,84.6,80.0,58.6,5337973,111,63576.242,8967006.0,6.952647460354016
Azerbaijan,74.7,77.4,71.9,58.7,6101378,126,20111.375,10234332.0,7.010059501304194
Bahamas,74.9,78.5,71.2,88.4,356391,40,29340.473,396326.0,5.59805256409836
Bahrain,81.6,82.3,81.0,0.0,0,2162,54954.676,1501708.0,6.1765854943744705
Bangladesh,75.2,76.9,73.6,42.6,74837709,1350,7441.0693,167658798.0,8.224426348236639
Barbados,76.5,78.9,73.9,32.5,91766,657,15683.885,282111.0,5.450420020384942
Belarus,74.8,79.4,69.9,84.4,7589573,44,27611.18,9251315.0,6.966203468593448
Belgium,82.4,84.6,80.3,98.8,11613585,388,61873.965,11570794.0,7.063363161716405
Belize,73.9,76.8,71.2,48.6,205478,19,11677.461,395312.0,5.5969399978863095
Benin,61.1,62.6,59.7,47.8,7076087,131,3464.2886,13413371.0,7.12753793689102
Bhutan,73.5,75.6,71.8,50.3,400623,21,13458.8125,775407.0,5.8895297172897765
Bolivia,68.9,71.5,66.4,70.6,8887268,12,9454.198,11937318.0,7.076906763255824
Bosnia And Herzegovina,78.2,81.2,74.9,56.3,1768228,62,18544.076,3244869.0,6.511197168401248
Botswana,69.4,72.0,66.9,75.6,1937024,5,17961.357,2401410.0,6.380466314799339
Brazil,76.2,79.3,73.1,91.4,194451506,25,18075.705,209550238.0,8.321288158426976
Brunei,75.7,77.9,73.7,80.1,373730,88,78248.8,451676.0,5.654827014748957
Bulgaria,76.0,79.5,72.5,77.1,5179498,62,29536.678,6877173.0,6.837409949454768
Burkina Faso,61.5,63.6,59.3,33.7,8113116,88,2486.431,21995205.0,7.342328014048908
Burundi,64.0,66.1,61.9,14.9,2146694,560,836.6656,12965439.0,7.112787226238405
Cambodia,71.0,73.5,68.3,26.5,4721141,101,6225.5327,16974258.0,7.22979079894378
Cameroon,64.2,66.5,62.0,59.4,17739676,63,4793.556,26915707.0,7.430005791997371
Canada,82.9,85.0,80.7,80.2,32164167,4,55781.7,38454011.0,7.584941646200264
Central African Republic,57.9,59.8,55.7,44.5,2451673,9,1128.5524,5112047.0,6.708594838058563
Chad,55.4,57.4,53.5,22.4,4700984,17,1700.167,17828225.0,7.251108106435106
Chile,81.5,83.4,79.7,84.8,16850412,27,29105.102,19456275.0,7.289059696066042
China,78.4,81.2,75.7,67.5,956553854,151,20406.73,1426437224.0,9.154252663570873
Colombia,78.1,80.8,75.4,80.5,43010759,48,17700.06,51188120.0,7.709169179391636
Comoros,67.2,69.4,65.2,33.6,296345,474,3441.2117,818133.0,5.9128239106039135
Congo,66.2,67.9,64.5,69.8,4524254,19,6263.2114,5892137.0,6.7702728362107
Costa Rica,81.2,83.7,78.6,85.2,4390911,101,24140.434,5059939.0,6.704145281242352
Cote D'Ivoire,62.3,64.5,60.3,49.0,16021559,103,6045.2046,29639680.0,7.471873510542634
Croatia,78.9,82.0,75.8,61.7,2374884,69,36914.113,3924558.0,6.593790751789512
Curacao,77.2,81.1,72.9,80.8,149822,418,25163.994,185279.0,5.267826198050937
Cyprus,82.0,83.9,80.0,61.1,838047,148,49929.84,1317269.0,6.11967447145864
Denmark,82.2,84.1,80.4,87.4,5248366,141,70342.32,5856724.0,6.767654758243205
Djibouti,66.4,69.0,63.9,71.3,843657,51,5947.861,1121203.0,6.049684251130437
Dominican Republic,74.0,77.2,70.8,86.4,9950299,238,21912.26,11123434.0,7.046238882301928
Ecuador,77.8,80.5,75.1,66.0,12062680,74,13539.711,17682398.0,7.247541161556412
Egypt,72.0,74.2,69.8,40.9,48427431,119,15579.016,110956950.0,8.045154510282469
El Salvador,72.5,76.7,68.0,79.9,5085472,307,10809.714,6255737.0,6.796278482083492
Equatorial Guinea,64.1,66.1,62.4,63.6,1232213,69,16821.45,1758752.0,6.245204604309736
Estonia,79.5,83.3,75.4,66.9,899102,32,45063.543,1331699.0,6.124406073624548
Eswatini,64.4,67.3,61.4,31.3,392638,73,9846.207,1206548.0,6.081544604090197
Ethiopia,67.9,71.3,64.6,22.5,30487323,135,2588.413,122138537.0,8.086852713624213
Fiji,67.6,69.7,65.6,60.8,567088,51,10685.197,916669.0,5.962212544586056
Finland,82.2,84.9,79.6,86.7,4874169,19,57350.87,5541019.0,6.743589639346154
France,83.6,86.3,80.7,82.5,55018724,122,53901.11,66083491.0,7.820092977441706
Gabon,68.7,71.4,66.2,83.7,2171202,10,18523.58,2376684.0,6.3759714424857385
Gambia,66.3,68.0,64.5,61.3,1731095,279,2777.7961,2575965.0,6.410939957907444
Georgia,74.8,79.4,69.9,62.0,2358908,55,18915.654,3788400.0,6.578455827939842
Germany,81.7,84.0,79.4,76.5,64345635,241,62950.047,83697031.0,7.922710052459372
Ghana,65.9,68.4,63.5,58.6,20539206,154,6607.503,32518607.0,7.512131933441997
Greece,82.2,84.6,79.7,89.5,8897137,77,33577.51,10579511.0,7.024465594456294
Grenada,75.5,78.6,72.7,35.5,41685,345,15298.123,116645.0,5.066866127450825
Guatemala,72.9,75.2,70.6,56.6,10568383,174,11828.33,17598598.0,7.245478070932538
Guinea,61.1,62.3,59.8,40.3,6082701,61,3738.8052,13710470.0,7.137052342820718
Guinea-Bissau,64.4,66.7,62.0,46.2,1038474,80,2450.978,2058795.0,6.313613104849627
Guyana,70.4,74.2,66.7,26.6,222762,4,22865.932,815445.0,5.911394674141442
Haiti,65.3,68.7,62.1,61.7,7343428,432,3134.9502,11374546.0,7.055934071383689
Honduras,73.2,75.9,70.6,58.3,6421078,98,6202.981,10289829.0,7.012408157563844
Hong Kong,85.8,88.4,83.1,0.0,0,7044,65884.94,7484547.0,6.874165519929057
Hungary,77.3,80.5,74.1,72.0,6937818,106,38648.0,9707794.0,6.987120552001421
Iceland,83.2,84.6,81.8,84.0,334395,4,62032.27,372597.0,5.571239353811188
India,72.5,74.1,71.0,37.1,542742539,492,8050.0186,1414203840.0,9.150512012153156
Indonesia,71.4,73.6,69.3,59.6,170361295,158,12757.074,276758010.0,8.442100199192888
Iran,78.1,80.0,76.2,73.3,67760281,57,14951.895,88455443.0,7.946724561860041
Iraq,72.5,74.3,70.6,72.4,34038857,108,12731.754,43071162.0,7.634186588581279
Ireland,82.7,84.7,80.8,62.1,3294830,77,118102.766,5028387.0,6.701428694928134
Israel,82.8,84.8,80.7,91.4,8698204,440,46238.223,8942868.0,6.951476820454329
Italy,84.0,86.0,81.9,72.0,42568771,201,50465.086,59729300.0,7.776187425044766
Jamaica,71.7,74.3,69.2,60.2,1706544,262,9577.164,2837634.0,6.452956379130338
Japan,85.0,88.0,82.0,93.1,114645589,338,44549.34,125679288.0,8.099263711667922
Jordan,78.1,80.5,76.1,85.1,9802267,130,9182.496,11066310.0,7.044002831918587
Kazakhstan,74.7,78.6,70.4,55.1,11494249,8,32945.85,19743565.0,7.295425573867492
Kenya,64.0,66.3,61.8,31.9,18371967,101,5338.8525,53219122.0,7.726067705358164
Kiribati,66.7,68.5,64.8,57.3,78192,169,3049.4739,128346.0,5.108382338102923
Kuwait,80.8,82.1,79.6,91.6,4602914,282,50689.043,4360703.0,6.639556508628594
Kyrgyzstan,72.0,75.6,68.4,35.3,2573712,38,5736.479,6820433.0,6.83381194702324
Laos,69.5,71.8,67.3,38.3,3018824,34,8080.4355,7453143.0,6.872339453917105
Latvia,76.5,80.7,71.9,67.5,1250246,30,35604.9,1885546.0,6.275437131969683
Lebanon,78.1,80.0,76.0,86.0,5032693,572,11599.775,5718083.0,6.757250455005948
Lesotho,58.2,60.9,55.4,32.8,774177,78,2544.7825,2261496.0,6.354395823928295
Liberia,62.5,63.8,61.1,55.0,3150252,60,1539.2089,5259278.0,6.720926127777705
